dataname,folder,num_env,gamma2,TMB,mode,etrue,espur,emiss,efals,shd,tpr,time
erdos_renyi/d60_easy,m5_d1.0_n10,10,0.5,1,n,49,6,36,19,61,0.66,27.72383165359497
erdos_renyi/d60_easy,m5_d1.0_n10,10,0.5,1,n,49,6,36,19,61,0.66,27.607584714889526
erdos_renyi/d60_easy,m5_d1.0_n10,10,0.5,1,n,51,5,36,17,58,0.7,27.670903205871582
erdos_renyi/d60_easy,m5_d1.0_n10,10,0.5,1,n,40,9,43,21,73,0.57,27.864779472351074
erdos_renyi/d60_easy,m5_d1.0_n10,10,0.5,1,n,48,7,32,24,63,0.61,27.697065114974976
erdos_renyi/d60_easy,m5_d1.0_n10,10,0.5,1,n,54,4,31,19,54,0.7,27.466166019439697
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,n,41,12,72,19,103,0.57,29.56785225868225
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,n,46,8,67,19,94,0.63,29.703568696975708
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,n,43,15,68,21,104,0.54,30.593183517456055
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,n,43,12,71,18,101,0.59,30.3286395072937
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,n,38,13,67,27,107,0.49,30.35721468925476
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,n,53,11,59,20,90,0.63,30.020689725875854
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,n,52,11,63,17,91,0.65,30.023703575134277
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,n,44,11,64,24,99,0.56,29.998900175094604
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,n,43,12,66,23,101,0.55,30.010199785232544
erdos_renyi/d60_intermediate,m5_d1.0_n10,10,0.5,1,n,42,12,70,20,102,0.57,36.54803466796875
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,n,47,13,90,21,124,0.58,34.71371507644653
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,n,38,14,97,23,134,0.51,34.563502073287964
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,n,39,10,93,26,129,0.52,34.543699502944946
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,n,35,15,99,24,138,0.47,34.22193789482117
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,n,49,14,89,20,123,0.59,33.955135107040405
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,n,40,16,99,19,134,0.53,33.92503881454468
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,n,39,7,94,25,126,0.55,33.77340793609619
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,n,33,12,96,29,137,0.45,34.993043661117554
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,n,42,17,92,24,133,0.51,33.66563653945923
erdos_renyi/d60_hard,m5_d1.0_n10,10,0.5,1,n,35,14,98,25,137,0.47,33.63806962966919
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,n,66,8,76,20,104,0.7,39.12128925323486
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,n,73,9,70,19,98,0.72,39.39326190948486
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,n,64,10,74,24,108,0.65,39.79109048843384
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,n,59,17,76,27,120,0.57,41.27098631858826
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,n,68,8,70,24,102,0.68,40.66356635093689
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,n,79,11,63,20,94,0.72,40.03171706199646
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,n,76,12,64,22,98,0.69,39.33291220664978
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,n,73,7,67,22,96,0.72,39.30092668533325
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,n,70,13,67,25,105,0.65,39.51609516143799
erdos_renyi/d80_easy,m5_d1.0_n10,10,0.5,1,n,60,9,77,25,111,0.64,39.25361704826355
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,n,66,15,92,30,137,0.59,42.55828309059143
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,n,70,7,87,31,125,0.65,43.14590334892273
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,n,73,9,88,27,124,0.67,43.053218126297
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,n,83,11,81,24,116,0.7,42.29021859169006
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,n,66,14,94,28,136,0.61,43.33629322052002
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,n,84,16,81,23,120,0.68,43.357879638671875
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,n,66,18,91,31,140,0.57,42.53454089164734
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,n,77,14,87,24,125,0.67,42.36589169502258
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,n,69,16,89,30,135,0.6,42.231870889663696
erdos_renyi/d80_intermediate,m5_d1.0_n10,10,0.5,1,n,79,11,87,22,120,0.71,42.55359435081482
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,n,86,11,99,24,134,0.71,44.040284156799316
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,n,70,20,113,26,159,0.6,44.68105340003967
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,n,84,20,99,26,145,0.65,45.04570293426514
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,n,74,18,101,34,153,0.59,44.62206506729126
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,n,68,17,116,25,158,0.62,45.16424918174744
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,n,71,13,111,27,151,0.64,44.8434784412384
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,n,57,16,119,33,168,0.54,45.437761306762695
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,n,62,15,115,32,162,0.57,45.15865612030029
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,n,53,19,122,34,175,0.5,45.12407302856445
erdos_renyi/d80_hard,m5_d1.0_n10,10,0.5,1,n,70,14,104,35,153,0.59,45.10556626319885
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,n,79,7,78,37,122,0.64,49.34539556503296
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,n,78,6,77,39,122,0.63,49.962135791778564
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,n,81,6,73,40,119,0.64,49.89132523536682
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,n,87,4,74,33,111,0.7,49.81217360496521
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,n,76,5,83,35,123,0.66,49.3597891330719
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,n,75,7,79,40,126,0.61,48.90261888504028
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,n,70,6,86,38,130,0.61,48.79625225067139
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,n,77,10,83,34,127,0.64,50.065972566604614
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,n,81,9,73,40,122,0.62,49.428972244262695
erdos_renyi/d100_easy,m5_d1.0_n10,10,0.5,1,n,67,6,84,43,133,0.58,49.8833692073822
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,n,90,6,101,34,141,0.69,52.14798402786255
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,n,84,3,112,29,144,0.72,55.697421073913574
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,n,76,11,110,39,160,0.6,416.4827284812927
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,n,83,9,105,37,151,0.64,55.229063749313354
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,n,89,12,99,37,148,0.64,51.549010276794434
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,n,94,8,103,28,139,0.72,50.808412075042725
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,n,99,10,90,36,136,0.68,49.96396470069885
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,n,77,9,107,41,157,0.61,49.71604323387146
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,n,93,10,100,32,142,0.69,49.9023814201355
erdos_renyi/d100_intermediate,m5_d1.0_n10,10,0.5,1,n,100,7,93,32,132,0.72,50.05474495887756
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,n,79,16,165,30,211,0.63,61.35584259033203
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,n,85,12,149,40,201,0.62,63.266165256500244
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,n,85,12,150,39,201,0.62,60.630062103271484
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,n,88,13,158,28,199,0.68,62.14423394203186
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,n,79,16,158,37,211,0.6,62.92682075500488
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,n,78,12,157,39,208,0.6,61.65110182762146
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,n,74,13,162,38,213,0.59,62.19729733467102
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,n,84,13,156,34,203,0.64,61.41148900985718
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,n,79,18,161,34,213,0.6,61.01175856590271
erdos_renyi/d100_hard,m5_d1.0_n10,10,0.5,1,n,79,17,153,42,212,0.57,61.27629256248474
erdos_renyi/d200_easy,m5_d1.0_n10,10,0.5,1,aS,187,12,114,50,176,0.751004016064257,234.777179479599
erdos_renyi/d200_easy,m5_d1.0_n10,10,0.5,1,aS,169,10,127,55,192,0.7222222222222222,226.9738941192627
erdos_renyi/d200_easy,m5_d1.0_n10,10,0.5,1,aS,177,8,131,43,182,0.7763157894736842,230.54882955551147
erdos_renyi/d200_easy,m5_d1.0_n10,10,0.5,1,aS,178,10,116,57,183,0.726530612244898,229.374675989151
erdos_renyi/d200_easy,m5_d1.0_n10,10,0.5,1,aS,192,8,112,47,167,0.7773279352226721,232.0920751094818
erdos_renyi/d200_easy,m5_d1.0_n10,10,0.5,1,n,156,9,115,80,204,0.636734693877551,230.1371955871582
erdos_renyi/d200_easy,m5_d1.0_n10,10,0.5,1,n,133,11,124,94,229,0.5588235294117647,227.5928590297699
erdos_renyi/d200_easy,m5_d1.0_n10,10,0.5,1,n,153,13,113,85,211,0.6095617529880478,228.508887052536
erdos_renyi/d200_easy,m5_d1.0_n10,10,0.5,1,n,177,9,100,74,183,0.6807692307692308,226.36926984786987
erdos_renyi/d200_easy,m5_d1.0_n10,10,0.5,1,n,152,9,118,81,208,0.628099173553719,226.5914471149445
erdos_renyi/d200_intermediate,m5_d1.0_n10,10,0.5,1,aS,231,12,179,49,240,0.791095890410959,310.409658908844
erdos_renyi/d200_intermediate,m5_d1.0_n10,10,0.5,1,aS,234,12,171,54,237,0.78,312.48273634910583
erdos_renyi/d200_intermediate,m5_d1.0_n10,10,0.5,1,aS,217,15,183,59,257,0.7457044673539519,313.31945419311523
erdos_renyi/d200_intermediate,m5_d1.0_n10,10,0.5,1,aS,238,10,164,57,231,0.780327868852459,313.19338822364807
erdos_renyi/d200_intermediate,m5_d1.0_n10,10,0.5,1,aS,197,15,202,60,277,0.7242647058823529,318.39270210266113
erdos_renyi/d200_intermediate,m5_d1.0_n10,10,0.5,1,n,216,15,166,77,258,0.7012987012987013,341.65760135650635
erdos_renyi/d200_intermediate,m5_d1.0_n10,10,0.5,1,n,212,21,163,84,268,0.668769716088328,359.03492736816406
erdos_renyi/d200_intermediate,m5_d1.0_n10,10,0.5,1,n,197,11,182,80,273,0.6840277777777778,352.8126857280731
erdos_renyi/d200_intermediate,m5_d1.0_n10,10,0.5,1,n,203,15,179,77,271,0.688135593220339,361.791241645813
erdos_renyi/d200_intermediate,m5_d1.0_n10,10,0.5,1,n,203,17,179,77,273,0.6835016835016835,335.52233481407166
erdos_renyi/d200_hard,m5_d1.0_n10,10,0.5,1,aS,189,16,298,71,385,0.6847826086956522,718.5110585689545
erdos_renyi/d200_hard,m5_d1.0_n10,10,0.5,1,aS,209,30,273,76,379,0.6634920634920635,715.9953827857971
erdos_renyi/d200_hard,m5_d1.0_n10,10,0.5,1,aS,197,24,284,77,385,0.6610738255033557,716.3849940299988
erdos_renyi/d200_hard,m5_d1.0_n10,10,0.5,1,aS,205,20,289,64,373,0.7093425605536332,727.8816890716553
erdos_renyi/d200_hard,m5_d1.0_n10,10,0.5,1,aS,225,30,269,64,363,0.7053291536050157,719.967339515686
erdos_renyi/d200_hard,m5_d1.0_n10,10,0.5,1,n,207,24,265,86,375,0.6529968454258676,738.6061515808105
erdos_renyi/d200_hard,m5_d1.0_n10,10,0.5,1,n,203,27,271,84,382,0.6464968152866242,730.6542282104492
erdos_renyi/d200_hard,m5_d1.0_n10,10,0.5,1,n,183,28,290,85,403,0.6182432432432432,755.0227799415588
erdos_renyi/d200_hard,m5_d1.0_n10,10,0.5,1,n,185,18,284,89,391,0.6335616438356164,759.6122262477875
erdos_renyi/d200_hard,m5_d1.0_n10,10,0.5,1,n,213,19,256,89,364,0.6635514018691588,715.9508466720581
erdos_renyi/d300_easy,m5_d1.0_n10,10,0.5,1,aS,235,10,231,93,334,0.6952662721893491,437.122876405716
erdos_renyi/d300_easy,m5_d1.0_n10,10,0.5,1,aS,226,11,231,102,344,0.6666666666666666,646.3665342330933
erdos_renyi/d300_easy,m5_d1.0_n10,10,0.5,1,aS,256,12,221,82,315,0.7314285714285714,613.2311742305756
erdos_renyi/d300_easy,m5_d1.0_n10,10,0.5,1,aS,239,11,225,95,331,0.6927536231884058,587.7227058410645
erdos_renyi/d300_easy,m5_d1.0_n10,10,0.5,1,aS,252,10,214,93,317,0.7098591549295775,553.6706695556641
erdos_renyi/d300_easy,m5_d1.0_n10,10,0.5,1,n,231,14,200,128,342,0.6193029490616622,493.4818079471588
