dataname,d,s,baseline,etrue,espur,emiss,efals,shd,tpr,time
notears,20,20,Notears,9,0,11,0,11,1.0,19.403076171875
notears,20,20,FCI,6,1,14,0,15,0.86,0.23209285736083984
notears,20,20,GIES,19,0,1,0,1,1.0,2.7020645141601562
notears,20,20,Notears,9,0,11,0,11,1.0,35.965606927871704
notears,20,20,MLPNotears,17,0,2,1,3,0.94,38.32101082801819
notears,20,20,FCI,6,1,14,0,15,0.86,0.23435592651367188
notears,20,20,FCI,6,1,14,0,15,0.86,0.19739603996276855
notears,20,20,FCI,6,1,14,0,15,0.86,0.1968069076538086
notears,20,20,FCI,6,1,14,0,15,0.86,0.19681167602539062
notears,20,20,FCI,6,1,14,0,15,0.86,0.19551372528076172
notears,20,20,FCI,6,1,14,0,15,0.86,0.19386649131774902
notears,20,20,FCI,6,1,14,0,15,0.86,0.1936781406402588
notears,20,20,FCI,6,1,14,0,15,0.86,0.1978912353515625
notears,20,20,FCI,6,1,14,0,15,0.86,0.1949446201324463
notears,20,20,GIES,19,0,1,0,1,1.0,2.61387038230896
notears,20,20,GIES,19,0,1,0,1,1.0,1.5137004852294922
notears,20,20,GIES,19,0,1,0,1,1.0,1.5547106266021729
notears,20,20,GIES,19,0,1,0,1,1.0,1.5844085216522217
notears,20,20,GIES,19,0,1,0,1,1.0,1.568692684173584
notears,20,20,GIES,19,0,1,0,1,1.0,1.6308317184448242
notears,20,20,GIES,19,0,1,0,1,1.0,1.662400484085083
notears,20,20,GIES,19,0,1,0,1,1.0,1.5333144664764404
notears,20,20,GIES,19,0,1,0,1,1.0,1.517862319946289
notears,20,20,Notears,9,0,11,0,11,1.0,26.56093978881836
notears,20,20,Notears,9,0,11,0,11,1.0,27.499874353408813
notears,20,20,Notears,9,0,11,0,11,1.0,28.003205060958862
notears,20,20,Notears,9,0,11,0,11,1.0,23.87950372695923
notears,20,20,Notears,9,0,11,0,11,1.0,18.222140073776245
notears,20,20,Notears,9,0,11,0,11,1.0,23.641064167022705
notears,20,20,Notears,9,0,11,0,11,1.0,20.575976371765137
notears,20,20,Notears,9,0,11,0,11,1.0,17.807940244674683
notears,20,20,Notears,9,0,11,0,11,1.0,21.762054681777954
notears,20,20,MLPNotears,18,0,1,1,2,0.95,30.174577713012695
notears,20,20,MLPNotears,17,2,2,1,5,0.85,40.46544933319092
notears,20,20,MLPNotears,18,3,1,1,5,0.82,39.10252285003662
notears,20,20,MLPNotears,17,0,2,1,3,0.94,37.83366274833679
notears,20,20,MLPNotears,17,0,2,1,3,0.94,37.09144997596741
notears,20,20,MLPNotears,17,0,2,1,3,0.94,35.970011949539185
notears,20,20,MLPNotears,18,3,1,1,5,0.82,32.764472246170044
notears,20,20,MLPNotears,17,3,2,1,6,0.81,27.719688892364502
notears,20,20,MLPNotears,17,3,2,1,6,0.81,24.492894172668457
notears,40,40,FCI,13,4,25,2,31,0.68,0.8242530822753906
notears,40,40,FCI,13,4,25,2,31,0.68,0.7802274227142334
notears,40,40,FCI,13,4,25,2,31,0.68,0.7806694507598877
notears,40,40,FCI,13,4,25,2,31,0.68,0.7696523666381836
notears,40,40,FCI,13,4,25,2,31,0.68,0.7695984840393066
notears,40,40,FCI,13,4,25,2,31,0.68,0.7690215110778809
notears,40,40,FCI,13,4,25,2,31,0.68,0.7793567180633545
notears,40,40,FCI,13,4,25,2,31,0.68,0.7772533893585205
notears,40,40,FCI,13,4,25,2,31,0.68,0.7709276676177979
notears,40,40,FCI,13,4,25,2,31,0.68,0.7699079513549805
notears,40,40,GIES,30,4,10,0,14,0.88,3.699023962020874
notears,40,40,GIES,30,4,10,0,14,0.88,2.4947397708892822
notears,40,40,GIES,30,4,10,0,14,0.88,2.19944429397583
